name,accession_id,collection_date,location,Lineage,Institute
hCoV-19/England/PHEP-YYFZ1AJ/2022,EPI_ISL_15303944,25/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZ1FO/2022,EPI_ISL_15303949,2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZ5OO/2022,EPI_ISL_15304025,27/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZAUP/2022,EPI_ISL_15304056,22/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZHJ6/2022,EPI_ISL_15304089,26/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZJD7/2022,EPI_ISL_15304129,20/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZO97/2022,EPI_ISL_15304193,22/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/England/PHEP-YYFZSC6/2022,EPI_ISL_15304266,24/09/2022,Europe / United Kingdom / England,BQ.1,
hCoV-19/Netherlands/ZE-MVD-CWGS2203551/2022,EPI_ISL_15304412,23/09/2022,Europe / Netherlands / Zeeland,BQ.1,
hCoV-19/Netherlands/NB-PAMM-J01-0183/2022,EPI_ISL_15305065,01/10/2022,Europe / Netherlands / Noord-Brabant,BQ.1,
hCoV-19/Portugal/PT42977/2022,EPI_ISL_15305309,24/09/2022,Europe / Portugal,BQ.1,
hCoV-19/Portugal/PT42978/2022,EPI_ISL_15305310,24/09/2022,Europe / Portugal,BQ.1,
hCoV-19/Portugal/PT42981/2022,EPI_ISL_15305313,24/09/2022,Europe / Portugal,BQ.1,
hCoV-19/Portugal/PT43005/2022,EPI_ISL_15305337,22/09/2022,Europe / Portugal,BQ.1,
hCoV-19/USA/TX-HMH-MCoV-116136/2022,EPI_ISL_15306162,19/09/2022,North America / USA / Texas / Houston,BQ.1,
hCoV-19/USA/TX-HMH-MCoV-116068/2022,EPI_ISL_15306184,19/09/2022,North America / USA / Texas / Houston,BQ.1,
hCoV-19/Sweden/01_SE100_22CS508713/2022,EPI_ISL_15307042,29/09/2022,Europe / Sweden / Stockholm,BQ.1,
hCoV-19/USA/MA-CDCBI-CRSP_673HO4PEGVVIF6ME/2022,EPI_ISL_15308238,27/09/2022,North America / USA / Massachusetts,BQ.1,
hCoV-19/USA/MA-CDCBI-CRSP_NIEGVJMZJHNMYURQ/2022,EPI_ISL_15308386,26/09/2022,North America / USA / Massachusetts,BQ.1,
hCoV-19/USA/MA-CDCBI-CRSP_BDUJC6D4TBYJ3ETI/2022,EPI_ISL_15308571,26/09/2022,North America / USA / Massachusetts,BQ.1,
hCoV-19/USA/MA-CDCBI-CRSP_UUSYZEGLOYPVIJGE/2022,EPI_ISL_15308584,26/09/2022,North America / USA / Massachusetts,BQ.1,
hCoV-19/USA/MA-CDCBI-CRSP_R3ECGASQHKLPRF6B/2022,EPI_ISL_15308614,26/09/2022,North America / USA / Massachusetts,BQ.1,
hCoV-19/USA/VT-CDCBI-CRSP_C7AOWJBZHXCPQIND/2022,EPI_ISL_15308623,22/09/2022,North America / USA / Vermont,BQ.1,
hCoV-19/USA/MA-CDCBI-CRSP_2AT5PO3OCHEZFZRY/2022,EPI_ISL_15308632,23/09/2022,North America / USA / Massachusetts,BQ.1,
hCoV-19/USA/MA-NEB-7bf8-78591/2022,EPI_ISL_15309201,26/09/2022,North America / USA / Massachusetts / Essex County,BQ.1,
hCoV-19/Belgium/AZDelta-2239-05899/2022,EPI_ISL_15309497,05/10/2022,Europe / Belgium / Roeselare,BQ.1,
